query,truth,response
Is Zipcode 73552 adjacent to and west of Zipcode 73566?,no,no
Añasco Municipio Puerto Rico intersects with Zipcode 00610 correct?,yes,no
Choctaw County Alabama intersects with Zipcode 36919 correct?,yes,no
Is Zipcode 74332 adjacent to and southeast of Zipcode 74367?,no,no
Is Zipcode 48015 southwest of Zipcode 48088?,yes,no
Hickman County Tennessee contains Zipcode 37098 correct?,yes,yes
New York County New York contains Zipcode 10016 correct?,yes,yes
Is Zipcode 27923 northwest of Zipcode 27958?,no,no
Is Zipcode 75762 adjacent to and northeast of Zipcode 75763?,yes,no
Is Zipcode 13452 adjacent to and west of Zipcode 13365?,no,no
Is Zipcode 48422 adjacent to and southeast of Zipcode 48032?,no,no
Is Zipcode 34465 adjacent to and north of Zipcode 34461?,yes,no
Is Zipcode 27106 adjacent to and south of Zipcode 27045?,yes,no
Is The State of Louisiana east of Zipcode 39648?,no,no
Is Zipcode 29693 west of Zipcode 30573?,no,no
Is Zipcode 68810 adjacent to and west of Zipcode 68883?,no,no
Is Colleton County South Carolina adjacent to and east of Zipcode 29924?,yes,no
Allen County Kentucky is inside of Zipcode 42153 correct?,no,no
Is Zipcode 26034 southwest of Zipcode 43964?,no,no
Cortland County New York intersects with Zipcode 13158 correct?,yes,yes
Is Zipcode 29803 adjacent to and east of Zipcode 29809?,yes,no
Is Giles County Virginia southeast of Zipcode 25971?,yes,yes
Is Mecosta County Michigan adjacent to and southwest of Zipcode 49329?,no,no
Is Zipcode 76051 southwest of Zipcode 76021?,no,no
Is Clearfield County Pennsylvania adjacent to and south of Zipcode 15846?,yes,no
Bexar County Texas intersects with Zipcode 78069 correct?,yes,no
Is Zipcode 68448 north of Zipcode 68382?,no,yes
Is Eaton County Michigan adjacent to and east of Zipcode 48842?,no,yes
Is Bulloch County Georgia northeast of Zipcode 29939?,no,no
Is Zipcode 21758 adjacent to and south of Zipcode 20180?,no,yes
Is Zipcode 63114 adjacent to and east of Zipcode 63133?,no,no
The State of Nevada is inside of Zipcode 89012 correct?,no,yes
Is Zipcode 58415 northwest of Zipcode 58474?,yes,no
Is Zipcode 62888 adjacent to and south of Zipcode 62831?,yes,yes
Is Zipcode 73501 adjacent to and east of Zipcode 73055?,no,no
Is Zipcode 41008 adjacent to and southeast of Zipcode 41098?,no,no
Wells County Indiana has no common ground with Zipcode 46777 correct?,no,no
Nassau County New York contains Zipcode 11753 correct?,yes,yes
Is Zipcode 31327 adjacent to and west of Zipcode 31331?,no,no
Rawlins County Kansas contains The State of Kansas correct?,no,yes
Is Zipcode 68735 adjacent to and south of Zipcode 68766?,yes,yes
Is Zipcode 67660 adjacent to and north of Zipcode 67520?,yes,no
Is Zipcode 54830 adjacent to and south of Zipcode 54836?,yes,no
Is Zipcode 85634 east of Zipcode 85745?,no,yes
Is Zipcode 03464 adjacent to and north of Zipcode 03280?,no,yes
Is Worcester County Massachusetts northeast of Zipcode 06282?,yes,no
Is Zipcode 47885 adjacent to and northeast of Zipcode 62423?,yes,no
Is Zipcode 40214 adjacent to and south of Zipcode 40215?,yes,no
Is Zipcode 92518 adjacent to and west of Zipcode 92508?,no,no
Is Zipcode 61560 southeast of Zipcode 61336?,no,yes
Is Sargent County North Dakota adjacent to and north of Marshall County South Dakota?,yes,no
Sedgwick County Kansas contains Zipcode 67203 correct?,yes,yes
Is Zipcode 20744 northeast of Zipcode 20616?,yes,no
Is Columbia County Oregon adjacent to and northwest of Multnomah County Oregon?,yes,no
Is Zipcode 31625 adjacent to and southwest of Zipcode 31620?,yes,no
Is Zipcode 41234 adjacent to and northeast of Zipcode 41271?,no,no
Is Zipcode 53146 northeast of Zipcode 53149?,yes,yes
Is Hays County Texas northeast of Zipcode 78621?,no,no
Is Hunterdon County New Jersey adjacent to and east of Zipcode 18077?,yes,yes
Is Zipcode 12838 adjacent to and west of Zipcode 12832?,yes,no
Is Lee County North Carolina northwest of Zipcode 28323?,yes,yes
Is Zipcode 29376 south of Zipcode 29335?,no,no
Is Zipcode 20670 west of Zipcode 20619?,no,no
Is Park County Montana adjacent to and northwest of Zipcode 82414?,yes,no
Is Zipcode 75155 adjacent to and northwest of Zipcode 75109?,yes,yes
Is Hyde County North Carolina northwest of Zipcode 27962?,no,no
Is Zipcode 02343 adjacent to and northeast of Zipcode 02322?,yes,no
Is Zipcode 43716 adjacent to and southwest of Zipcode 43902?,yes,no
The State of Ohio contains Zipcode 45459 correct?,yes,yes
Is Zipcode 24171 adjacent to and west of Zipcode 24133?,yes,no
Morgan County West Virginia is inside of Zipcode 25411 correct?,no,no
Is The State of Illinois adjacent to and northeast of Zipcode 63070?,yes,no
Is The State of Maryland southwest of Zipcode 22967?,no,no
Is Zipcode 43962 adjacent to and north of Zipcode 44423?,no,no
Is Zipcode 59472 adjacent to and southwest of Zipcode 59405?,no,no
Is Zipcode 23308 west of Zipcode 23302?,yes,no
Is Zipcode 74547 adjacent to and northeast of Zipcode 74528?,yes,yes
Is Zipcode 66509 adjacent to and southeast of Zipcode 66540?,yes,yes
Is Mayagüez Municipio Puerto Rico northeast of Isabela Municipio Puerto Rico?,no,no
Is Ventura County California west of Zipcode 91390?,yes,yes
Is Zipcode 60502 adjacent to and southeast of Zipcode 60504?,no,yes
The State of New Jersey is inside of Zipcode 07031 correct?,no,no
Is Zipcode 48158 adjacent to and southeast of Zipcode 49236?,no,yes
Is Zipcode 81423 adjacent to and west of Zipcode 81430?,yes,no
Sarasota County Florida contains Zipcode 34292 correct?,yes,yes
Is Zipcode 36618 southeast of Zipcode 36587?,yes,yes
The State of Mississippi contains Zipcode 39204 correct?,yes,no
Hinds County Mississippi contains Zipcode 39202 correct?,yes,no
Dickson County Tennessee contains Zipcode 37029 correct?,yes,yes
Is Zipcode 12108 adjacent to and southeast of Zipcode 12190?,no,no
Is The State of New York south of Zipcode 18086?,no,yes
Is Cherokee County Kansas west of Zipcode 64870?,yes,no
Is Blount County Tennessee northwest of Zipcode 37830?,no,yes
Is Caswell County North Carolina east of Zipcode 27583?,no,yes
Is Texas County Oklahoma adjacent to and west of Cimarron County Oklahoma?,no,yes
Is Zipcode 75446 adjacent to and northeast of Zipcode 75486?,no,no
Is Mecklenburg County North Carolina south of Zipcode 28682?,yes,no
Is Zipcode 43060 southwest of Zipcode 43078?,no,no
Is Zipcode 83617 adjacent to and southwest of Zipcode 83657?,yes,yes
Is Zipcode 16322 west of Zipcode 16370?,no,no
Is Kane County Illinois east of Zipcode 60133?,no,no
Is Zipcode 79376 adjacent to and east of Zipcode 79355?,yes,no
Is Zipcode 58029 adjacent to and east of Zipcode 58064?,yes,yes
Is New York County New York east of Zipcode 11024?,no,no
Is Zipcode 61364 adjacent to and west of Zipcode 61377?,no,yes
Is Dallas County Texas west of Zipcode 76115?,no,no
Is Zipcode 04535 adjacent to and southwest of Zipcode 04348?,yes,no
Is Zipcode 70714 east of Zipcode 70739?,no,no
Is Zipcode 02120 east of Zipcode 02127?,no,no
Is Zipcode 69032 adjacent to and west of Zipcode 69045?,no,no
Is Zipcode 46072 northwest of Zipcode 46979?,no,no
Is Crockett County Texas adjacent to and east of Zipcode 76936?,no,no
Is The State of Kentucky adjacent to and north of Zipcode 38575?,yes,no
Is Zipcode 36269 adjacent to and southwest of Zipcode 36264?,no,no
Is Zipcode 17701 adjacent to and southeast of Zipcode 17756?,no,no
Is Thayer County Nebraska adjacent to and east of Nuckolls County Nebraska?,yes,no
Is Zipcode 19720 adjacent to and southwest of Zipcode 19733?,no,no
Is Saint Louis County Missouri northeast of Zipcode 62010?,no,no
Is Zipcode 80916 west of Zipcode 80906?,no,no
Koochiching County Minnesota is inside of Zipcode 56653 correct?,no,no
Is Zipcode 10470 adjacent to and northwest of Zipcode 10705?,no,no
Burt County Nebraska has no common ground with Zipcode 68029 correct?,no,yes
Is Zipcode 80928 adjacent to and west of Zipcode 80864?,yes,no
Is Zipcode 65468 adjacent to and north of Zipcode 65555?,no,no
Is Porter County Indiana southeast of Zipcode 46960?,no,yes
Is Monroe County West Virginia adjacent to and northeast of Zipcode 24426?,no,no
Is Ochiltree County Texas adjacent to and east of Hansford County Texas?,yes,no
The State of California is inside of Zipcode 93623 correct?,no,yes
The State of Florida contains Zipcode 33801 correct?,yes,no
Is Zipcode 15338 southeast of Zipcode 15451?,no,yes
Is Zipcode 79735 adjacent to and northwest of Zipcode 79848?,yes,no
Is Zipcode 77362 adjacent to and northwest of Zipcode 77375?,yes,no
The State of Virginia contains Zipcode 24083 correct?,yes,no
Is Zipcode 45229 east of Zipcode 45208?,no,no
Is The State of Arkansas southeast of Zipcode 38760?,no,no
Is Monroe County West Virginia east of Zipcode 25841?,yes,yes
Is Zipcode 62938 adjacent to and northeast of Zipcode 62960?,yes,no
Middlesex County Connecticut is inside of Zipcode 06469 correct?,no,no
Is Zipcode 48033 adjacent to and south of Zipcode 48034?,yes,no
Is Huntingdon County Pennsylvania southeast of Zipcode 17265?,no,yes
Is Zipcode 57437 northwest of Zipcode 58573?,no,no
Pendleton County Kentucky has no common ground with Zipcode 41040 correct?,no,yes
Is Zipcode 26705 east of Zipcode 26444?,yes,yes
Is Bledsoe County Tennessee northwest of White County Tennessee?,no,no
Is Zipcode 29456 east of Zipcode 29472?,yes,no
Is The State of Massachusetts west of Zipcode 06112?,no,no
Is Jackson County Arkansas adjacent to and southwest of Zipcode 72421?,yes,no
The State of Pennsylvania is inside of Zipcode 15631 correct?,no,yes
Is Montgomery County Mississippi north of Zipcode 38929?,no,yes
Is Zipcode 85131 adjacent to and north of Zipcode 85128?,no,no
Is Zipcode 46041 northeast of Zipcode 47940?,yes,no
Is Zipcode 70578 adjacent to and east of Zipcode 70529?,no,no
Is Zipcode 04489 northwest of Zipcode 04469?,yes,no
Is Zipcode 13124 southwest of Zipcode 13072?,yes,no
Is Zipcode 30401 northwest of Zipcode 30413?,no,no
Is Zipcode 39451 adjacent to and west of Zipcode 39423?,no,no
Is Zipcode 86332 southeast of Zipcode 86305?,yes,no
Is Zipcode 74442 adjacent to and northeast of Zipcode 74432?,no,no
Is Zipcode 06473 adjacent to and north of Zipcode 06513?,yes,no
Is Itasca County Minnesota southwest of Zipcode 56655?,no,no
Is Zipcode 14569 adjacent to and northwest of Zipcode 14550?,yes,no
Is Zipcode 50606 east of Zipcode 50662?,yes,no
Is Zipcode 15323 north of Zipcode 15337?,yes,no
Is Zipcode 35983 adjacent to and northwest of Zipcode 35961?,no,no
Is Zipcode 91326 adjacent to and west of Zipcode 91344?,yes,no
Is Zipcode 06784 adjacent to and south of Zipcode 06755?,yes,no
Is Zipcode 12723 adjacent to and southeast of Zipcode 12750?,no,no
Pearl River County Mississippi contains The State of Mississippi correct?,no,yes
DeKalb County Tennessee has no common ground with Zipcode 37012 correct?,no,no
Is Coahoma County Mississippi west of Zipcode 38623?,yes,no
San Juan Municipio Puerto Rico is inside of Zipcode 00909 correct?,no,no
Is Pickens County Alabama adjacent to and northwest of Lowndes County Mississippi?,no,no
Is Sherburne County Minnesota west of Zipcode 56368?,no,no
Is Zipcode 55439 adjacent to and southeast of Zipcode 55437?,no,no
Is Zipcode 57234 adjacent to and northeast of Zipcode 57226?,no,no
Is Saint Clair County Michigan adjacent to and north of Zipcode 48450?,no,no
Is Zipcode 34209 adjacent to and southwest of Zipcode 34221?,yes,no
Is The State of Illinois south of Zipcode 42038?,no,no
Cheshire County New Hampshire is inside of Zipcode 03431 correct?,no,yes
Is The State of Texas south of Zipcode 74640?,yes,no
Is The State of Ohio northwest of Zipcode 49227?,no,no
Is Zipcode 79932 adjacent to and southeast of Zipcode 79922?,no,no
Is Zipcode 18438 northwest of Zipcode 18464?,yes,no
Is Prince George's County Maryland south of Zipcode 20617?,no,yes
Is The State of Pennsylvania west of Zipcode 12747?,yes,yes
Is Queens County New York west of Zipcode 07077?,no,no
Is Zipcode 93619 north of Zipcode 93616?,yes,no
Is Zipcode 68339 adjacent to and south of Zipcode 68532?,yes,no
Is Zipcode 84714 adjacent to and southeast of Zipcode 84756?,no,no
Is Zipcode 66531 adjacent to and east of Zipcode 66503?,no,yes
Is Zipcode 12983 adjacent to and west of Zipcode 12997?,yes,yes
Is Bee County Texas adjacent to and northeast of Zipcode 77963?,no,no
Is DuPage County Illinois adjacent to and east of Kane County Illinois?,yes,no
Is Coconino County Arizona adjacent to and north of Zipcode 85541?,yes,no
Is Grant County Minnesota southwest of Zipcode 56236?,no,no
Is Zipcode 41640 west of Zipcode 41643?,yes,yes
Is Zipcode 96105 adjacent to and north of Zipcode 96118?,yes,no
Is The State of Texas southwest of Zipcode 74112?,yes,yes
Is Zipcode 41189 adjacent to and west of Zipcode 41056?,no,no
Is Zipcode 98584 west of Zipcode 98394?,yes,yes
Is Zipcode 32446 southeast of Zipcode 36375?,yes,yes
Is Zipcode 01245 southwest of Zipcode 01257?,no,no
Is Zipcode 17271 adjacent to and east of Zipcode 17244?,no,no
Is Morris County New Jersey southwest of Zipcode 07420?,yes,no
Is Zipcode 71651 adjacent to and northwest of Zipcode 71744?,no,no
Is Zipcode 79928 adjacent to and northeast of Zipcode 79836?,yes,no
Is Zipcode 75569 adjacent to and north of Zipcode 75503?,no,yes
Is Zipcode 98026 adjacent to and north of Zipcode 98155?,yes,yes
Is Zipcode 87742 east of Zipcode 87506?,yes,yes
Is Zipcode 56229 adjacent to and east of Zipcode 56264?,yes,no
Is Zipcode 00927 adjacent to and northeast of Zipcode 00925?,no,no
Is Zipcode 69334 adjacent to and southeast of Zipcode 69336?,no,no
Is Zipcode 90057 adjacent to and southwest of Zipcode 90026?,yes,no
Is Zipcode 13136 northeast of Zipcode 13072?,no,yes
Is Zipcode 01827 adjacent to and south of Zipcode 03062?,yes,no
Is Zipcode 58639 adjacent to and south of Zipcode 58650?,yes,no
Is Zipcode 54129 adjacent to and northwest of Zipcode 54952?,no,yes
Is Zipcode 49953 adjacent to and west of Zipcode 49938?,no,no
Is Zipcode 61863 adjacent to and northeast of Zipcode 61880?,no,no
Is Zipcode 68757 adjacent to and north of Zipcode 68732?,yes,no
Is Zipcode 48071 adjacent to and west of Zipcode 48092?,yes,no
Los Angeles County California is inside of Zipcode 90013 correct?,no,yes
Is Zipcode 02155 adjacent to and west of Zipcode 02148?,yes,no
Is Zipcode 56531 northwest of Zipcode 56343?,yes,yes
Is Jackson County West Virginia west of Zipcode 26136?,yes,no
Is Zipcode 44481 southwest of Zipcode 44429?,no,yes
Is Zipcode 30546 adjacent to and north of Zipcode 30545?,yes,no
Is Franklin Parish Louisiana adjacent to and south of Zipcode 71269?,yes,no
Williams County Ohio contains Zipcode 43505 correct?,yes,no
Is Gloucester County Virginia southwest of Zipcode 23064?,yes,no
Is Riverside County California east of Zipcode 85371?,no,no
Is Zipcode 14037 adjacent to and north of Zipcode 14145?,yes,no
Is Zipcode 20737 northwest of Zipcode 20785?,yes,no
The State of Minnesota is inside of Zipcode 56303 correct?,no,yes
Is Zipcode 43780 adjacent to and west of Zipcode 43733?,no,no
Is Zipcode 29101 adjacent to and west of Zipcode 29550?,yes,no
Is Zipcode 77386 adjacent to and west of Zipcode 77339?,yes,no
Is Zipcode 45745 adjacent to and northwest of Zipcode 45789?,yes,no
Butler County Missouri has no common ground with Zipcode 63953 correct?,no,no
Is Saint James Parish Louisiana southwest of Saint Mary Parish Louisiana?,no,yes
Is The State of New York northeast of Zipcode 16238?,yes,no
Is Zipcode 43081 adjacent to and southwest of Zipcode 43231?,no,no
Is Zipcode 83713 adjacent to and east of Zipcode 83704?,no,no
Is Zipcode 32780 adjacent to and southeast of Zipcode 32953?,no,no
Is Douglas County Nebraska east of Zipcode 51576?,no,yes
The State of Kansas is inside of Zipcode 67337 correct?,no,no
Is The State of West Virginia south of Zipcode 43939?,yes,no
Is Zipcode 65658 adjacent to and northeast of Zipcode 72631?,yes,no
Is Zipcode 35212 adjacent to and west of Zipcode 35234?,no,yes
Is Saint Mary's County Maryland southeast of Zipcode 20613?,yes,no
Is Zipcode 96819 south of Zipcode 96850?,no,no
Is Zipcode 45778 adjacent to and southeast of Zipcode 45723?,no,no
Is Chemung County New York northeast of Zipcode 16935?,yes,yes
Is Zipcode 06238 adjacent to and northeast of Zipcode 06279?,no,no
Is Caroline County Maryland adjacent to and west of Zipcode 21601?,no,no
Is Zipcode 43759 adjacent to and southeast of Zipcode 43718?,no,no
Is Zipcode 37166 adjacent to and southwest of Zipcode 38544?,yes,no
The State of Nebraska contains Zipcode 68859 correct?,yes,yes
Is Johnson County Wyoming adjacent to and northwest of Zipcode 82833?,no,yes
Is Zipcode 41572 adjacent to and west of Zipcode 41667?,no,no
Is Zipcode 68783 southwest of Zipcode 57062?,yes,no
Is Zipcode 64441 adjacent to and southeast of Zipcode 64471?,no,no
Is Saline County Arkansas northwest of Jefferson County Arkansas?,yes,yes
Is Zipcode 29655 adjacent to and east of Zipcode 29620?,no,yes
Is Zipcode 34110 adjacent to and northwest of Zipcode 34134?,no,no
Is Zipcode 85501 northeast of Zipcode 85173?,yes,yes
Is Zipcode 62201 east of Zipcode 63103?,yes,yes
Is Zipcode 13843 adjacent to and northwest of Zipcode 13825?,yes,no
Is Zipcode 17302 southeast of Zipcode 17356?,yes,yes
Is Zipcode 62935 adjacent to and west of Zipcode 62977?,yes,no
Is Monroe County West Virginia adjacent to and north of Zipcode 24150?,yes,yes
Is Zipcode 69218 adjacent to and north of Zipcode 57551?,no,no
Is Decatur County Iowa adjacent to and northwest of Zipcode 50174?,no,no
Is Zipcode 99652 adjacent to and southwest of Zipcode 99694?,yes,yes
The State of Texas is inside of Zipcode 75052 correct?,no,yes
Is Zipcode 17723 southwest of Zipcode 16938?,yes,yes
Is Zipcode 99025 adjacent to and west of Zipcode 83858?,yes,no
Is Zipcode 67354 adjacent to and northeast of Zipcode 67337?,yes,yes
Is Zipcode 80615 adjacent to and west of Zipcode 80546?,no,no
Is Atlantic County New Jersey southwest of Zipcode 08224?,yes,yes
Is Zipcode 49894 adjacent to and south of Zipcode 49837?,yes,no
Okaloosa County Florida is inside of The State of Florida correct?,yes,yes
The State of Minnesota contains Zipcode 55376 correct?,yes,no
Is Curry County Oregon adjacent to and south of Zipcode 97466?,yes,no
Rio Arriba County New Mexico intersects with Zipcode 87412 correct?,yes,no
Is Greenbrier County West Virginia east of Zipcode 25832?,yes,no
Is Zipcode 32327 adjacent to and west of Zipcode 32358?,no,no
Is Carroll County Georgia adjacent to and southeast of Zipcode 36269?,yes,no
Is Zipcode 73440 adjacent to and east of Zipcode 73448?,yes,no
Is Zipcode 95204 adjacent to and northeast of Zipcode 95203?,yes,no
Is Zipcode 53126 southeast of Zipcode 53403?,no,no
Erie County New York is inside of Zipcode 14150 correct?,no,no
Is Zipcode 95023 northeast of Zipcode 93901?,yes,no
Is Hinsdale County Colorado west of Zipcode 81149?,yes,no
The State of Massachusetts contains Zipcode 02724 correct?,yes,yes
Is Zipcode 34607 adjacent to and north of Zipcode 34667?,yes,yes
Is Zipcode 27966 adjacent to and north of Zipcode 27939?,no,yes
Is Zipcode 12161 adjacent to and east of Zipcode 12067?,yes,no
Is Neshoba County Mississippi southwest of Zipcode 39341?,yes,yes
Is Zipcode 79720 adjacent to and northwest of Zipcode 79733?,yes,no
Is Zipcode 17824 west of Zipcode 17888?,yes,no
Is Zipcode 63775 west of Zipcode 63732?,yes,yes
Montgomery County New York has no common ground with Zipcode 12166 correct?,no,no
Is Zipcode 44003 southwest of Zipcode 16406?,yes,no
Seminole County Oklahoma has no common ground with Zipcode 74840 correct?,no,no
Harris County Texas contains Zipcode 77080 correct?,yes,yes
The State of Pennsylvania is inside of Zipcode 17030 correct?,no,yes
Is Franklin County Maine southwest of Zipcode 04226?,no,no
Is Seward County Kansas adjacent to and northwest of Zipcode 73938?,yes,no
Pulaski County Kentucky intersects with Zipcode 42642 correct?,yes,no
Is Rosebud County Montana east of Zipcode 59059?,yes,no
Is Butler County Nebraska southwest of Zipcode 68456?,no,yes
Is Zipcode 15202 adjacent to and southwest of Zipcode 15229?,yes,yes
The State of Missouri is inside of Zipcode 63005 correct?,no,no
Is Zipcode 66938 adjacent to and north of Zipcode 67466?,yes,no
Is Zipcode 01223 adjacent to and east of Zipcode 01238?,yes,no
Ulster County New York is inside of Zipcode 12481 correct?,no,no
Is Carroll County Maryland southwest of Zipcode 17349?,yes,no
Is Zipcode 23887 southeast of Zipcode 23893?,yes,yes
Is Zipcode 08042 adjacent to and south of Zipcode 08068?,no,no
Is Zipcode 86023 adjacent to and east of Zipcode 86020?,no,no
Is Jasper County Texas west of Zipcode 75942?,no,no
The State of Iowa is inside of Zipcode 50265 correct?,no,no
Is Bledsoe County Tennessee northwest of Zipcode 37308?,yes,yes
Is Zipcode 02053 adjacent to and southwest of Zipcode 02019?,no,no
Is Fayette County Indiana northeast of Zipcode 47374?,no,no
Republic County Kansas has no common ground with Zipcode 68325 correct?,no,yes
Is Steuben County New York east of Zipcode 14891?,no,no
Is Zipcode 51301 adjacent to and west of Zipcode 51333?,yes,no
Is Zipcode 94621 east of Zipcode 94578?,no,no
Is Zipcode 27978 adjacent to and northwest of Zipcode 27953?,no,no
Is Zipcode 97640 adjacent to and northwest of Zipcode 97636?,yes,no
Is Eaton County Michigan northeast of Zipcode 48912?,no,yes
Is Chippewa County Wisconsin north of Zipcode 54819?,no,no
Is Magoffin County Kentucky northeast of Zipcode 25514?,no,yes
Is Zipcode 30324 southeast of Zipcode 30327?,yes,no
Is Zipcode 12972 adjacent to and east of Zipcode 12975?,no,no
Is Zipcode 48182 adjacent to and north of Zipcode 48177?,no,yes
Gibson County Indiana is inside of Zipcode 47649 correct?,no,yes
Is Zipcode 12309 adjacent to and northwest of Zipcode 12308?,no,no
Is The State of Oregon adjacent to and southwest of Zipcode 83522?,yes,no
Is Albany County New York adjacent to and east of Zipcode 12180?,no,no
Is Zipcode 35775 adjacent to and south of Zipcode 35670?,no,no
Is Zipcode 30733 adjacent to and northeast of Zipcode 30165?,yes,no
Is Nelson County Kentucky southeast of Zipcode 40272?,yes,no
Is Zipcode 72106 adjacent to and southeast of Zipcode 72113?,no,no
The State of Kentucky is inside of Zipcode 41003 correct?,no,no
Montgomery County New York intersects with Zipcode 12010 correct?,yes,yes
Is Zipcode 93950 adjacent to and northwest of Zipcode 93940?,yes,yes
Is Zipcode 58504 adjacent to and north of Zipcode 58501?,no,no
Is Musselshell County Montana adjacent to and southeast of Zipcode 59088?,no,no
Is Zipcode 68779 northeast of Zipcode 68787?,no,no
Is Zipcode 15061 southeast of Zipcode 15003?,no,no
Is Elkhart County Indiana southeast of Zipcode 49031?,yes,no
Is Zipcode 47863 north of Zipcode 47842?,no,yes
Is The State of Colorado adjacent to and southeast of Zipcode 82901?,yes,no
Is Zipcode 94938 adjacent to and east of Zipcode 94963?,no,no
Is Nemaha County Nebraska west of Zipcode 51630?,yes,yes
The State of Wisconsin is inside of Zipcode 53066 correct?,no,no
Is Zipcode 24522 adjacent to and west of Zipcode 23960?,yes,no
Is Zipcode 02379 west of Zipcode 02356?,no,no
Brunswick County Virginia contains Zipcode 23876 correct?,yes,no
The State of Pennsylvania is inside of Zipcode 18068 correct?,no,no
The State of Texas contains Zipcode 79936 correct?,yes,no
Parke County Indiana intersects with Zipcode 47874 correct?,yes,no
The State of Michigan contains Zipcode 49637 correct?,yes,no
Is Zipcode 05851 adjacent to and southwest of Zipcode 05871?,yes,no
Is Zipcode 89124 northwest of Zipcode 89107?,yes,no
Is Zipcode 28790 adjacent to and southeast of Zipcode 29690?,no,no
Is The State of North Carolina northeast of Zipcode 29061?,yes,yes
Is Zipcode 77867 adjacent to and northwest of Zipcode 77807?,yes,no
Is Zipcode 23156 northeast of Zipcode 23168?,yes,no
Is Marion County Ohio northwest of Zipcode 43351?,no,no
Is Zipcode 71446 adjacent to and south of Zipcode 70634?,no,no
Is The State of California southeast of Zipcode 85356?,no,no
Is Lamoille County Vermont southwest of Zipcode 05462?,no,yes
Is Zipcode 77351 adjacent to and north of Zipcode 77350?,no,yes
Is Roberts County Texas adjacent to and north of Ochiltree County Texas?,no,no
Hardin County Kentucky intersects with Zipcode 40121 correct?,yes,no
Is Zipcode 51342 adjacent to and south of Zipcode 50536?,no,no
Is Zipcode 56054 adjacent to and south of Zipcode 55396?,yes,no
Is Zipcode 95111 adjacent to and west of Zipcode 95125?,no,no
Is Zipcode 20181 northwest of Zipcode 20137?,no,no
Is Zipcode 90094 east of Zipcode 90056?,no,no
Is Zipcode 18853 southeast of Zipcode 18850?,yes,yes
The State of New York is inside of Zipcode 10461 correct?,no,yes
The State of Florida is inside of Zipcode 32129 correct?,no,no
Is Whitley County Kentucky southwest of Scott County Tennessee?,no,no
Is Norfolk County Massachusetts north of Zipcode 02472?,no,no
Is Zipcode 94591 northwest of Zipcode 94559?,no,no
Is Zipcode 99011 west of Zipcode 99224?,yes,yes
Is Zipcode 48767 east of Zipcode 48754?,no,yes
Is Dallas County Texas northeast of Zipcode 75002?,no,no
Is York County South Carolina south of Zipcode 28032?,yes,yes
Is Zipcode 66756 adjacent to and northeast of Zipcode 66762?,yes,yes
Is Zipcode 90020 adjacent to and east of Zipcode 90036?,yes,no
Is Zipcode 69130 adjacent to and west of Zipcode 68850?,yes,no
Is Zipcode 99561 east of Zipcode 99559?,no,no
Is Zipcode 85256 adjacent to and northwest of Zipcode 85258?,no,no
Is Zipcode 60415 adjacent to and northwest of Zipcode 60803?,yes,no
Is Zipcode 41568 adjacent to and east of Zipcode 24846?,no,no
Is Zipcode 65325 adjacent to and southwest of Zipcode 65338?,no,no
Portage County Wisconsin has no common ground with Zipcode 54455 correct?,no,no
Colfax County Nebraska contains Zipcode 68661 correct?,yes,yes
Is Zipcode 24266 southwest of Zipcode 24202?,no,yes
Is Zipcode 65068 adjacent to and southeast of Zipcode 65233?,yes,no
Is Wise County Virginia adjacent to and west of Harlan County Kentucky?,no,no
The State of Ohio is inside of Zipcode 45845 correct?,no,no
Is Yukon-Koyukuk Census Area Alaska southwest of Zipcode 99575?,no,no
Is Zipcode 47578 adjacent to and northeast of Zipcode 47443?,no,no
Is Zipcode 54838 adjacent to and south of Zipcode 54859?,no,no
Is Zipcode 79011 adjacent to and north of Zipcode 79096?,yes,no
Is Zipcode 24127 adjacent to and west of Zipcode 24984?,no,no
Is Knox County Indiana northwest of Zipcode 47590?,yes,no
Is Zipcode 38551 adjacent to and west of Zipcode 38549?,yes,no
Is Zipcode 55069 adjacent to and west of Zipcode 54840?,yes,no
Laramie County Wyoming contains Zipcode 82050 correct?,yes,no
Is Raleigh County West Virginia adjacent to and north of Zipcode 25917?,no,no
Is Zipcode 32504 northeast of Zipcode 32583?,no,yes
Is Zipcode 41048 adjacent to and northwest of Zipcode 41018?,yes,no
Is Zipcode 28438 northwest of Zipcode 28375?,no,no
Is The State of North Carolina east of Zipcode 29388?,yes,yes
The State of Texas is inside of Zipcode 78076 correct?,no,yes
Northampton County Virginia contains Zipcode 23307 correct?,yes,no
Lynchburg city Virginia intersects with Zipcode 24551 correct?,yes,yes
Is Zipcode 66757 adjacent to and northwest of Zipcode 67335?,yes,yes
Is Union County Illinois northwest of Zipcode 62956?,yes,no
Citrus County Florida intersects with Zipcode 34433 correct?,yes,no
Is Zipcode 77964 adjacent to and south of Zipcode 78956?,yes,no
Is Zipcode 67511 adjacent to and south of Zipcode 67565?,yes,yes
Is Zipcode 20405 west of Zipcode 20004?,yes,no
Is Zipcode 52742 northwest of Zipcode 52758?,yes,no
Is Zipcode 70712 north of Zipcode 71373?,no,no
Cavalier County North Dakota contains The State of North Dakota correct?,no,yes
Is Zipcode 32009 adjacent to and south of Zipcode 32234?,no,no
Is Zipcode 88047 northeast of Zipcode 88021?,yes,no
Is Las Piedras Municipio Puerto Rico adjacent to and northwest of Zipcode 00791?,yes,no
