type,query,truth
checkbox,Query: Select all options that are northeast of Zipcode 22310? You may choose one or more options. Options: a. Zipcode 22315 b. Zipcode 22079 c. Zipcode 22314 d. Zipcode 22312 e. None of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Putnam County Illinois in relation to Zipcode 61354 in terms of geography. Options: a. they intersect b. intersects with c. southeast of d. inside of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 56626 in relation to Zipcode 56672 in terms of geography. Options: a. southeast of b. adjacent to and northwest of c. inside of d. north of e. none of the above,b
yes/no,Is Lee County North Carolina northwest of Zipcode 28323?,yes
yes/no,Is Zipcode 47141 adjacent to and west of Zipcode 47163?,no
yes/no,Is Lycoming County Pennsylvania east of Zipcode 18636?,no
checkbox,Query: Select all options that are adjacent to and east of Union County Ohio? You may choose one or more options. Options: a. Zipcode 43358 b. Logan County Ohio c. Champaign County Ohio d. Zipcode 43065 e. None of the above,"b,c"
yes/no,Is Zipcode 49953 adjacent to and west of Zipcode 49938?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of Texas in relation to Zipcode 79556 in terms of geography. Options: a. they intersect b. south of c. east of d. northwest of e. none of the above,e
yes/no,"Los Angeles County California is inside of Zipcode 90013, correct?",no
yes/no,Is Zipcode 99561 east of Zipcode 99559?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 72611 in relation to Zipcode 72638 in terms of geography. Options: a. adjacent to and north of b. adjacent to and northwest of c. adjacent to and southeast of d. adjacent to and east of e. none of the above,c
checkbox,Query: Select all options that are northwest of Zipcode 55912? You may choose one or more options. Options: a. Zipcode 56026 b. Zipcode 55982 c. Zipcode 56007 d. Zipcode 55909 e. None of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 77630 in relation to Zipcode 70631 in terms of geography. Options: a. adjacent to and northwest of b. adjacent to and east of c. contains d. adjacent to and northeast of e. none of the above,a
yes/no,Is Zipcode 66739 southwest of Zipcode 74354?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of Texas in relation to Zipcode 77024 in terms of geography. Options: a. adjacent to and west of b. contains c. inside of d. adjacent to and northeast of e. none of the above,b
yes/no,Is Zipcode 38828 adjacent to and south of Zipcode 38869?,no
yes/no,Is Zipcode 68733 southeast of Zipcode 68067?,no
yes/no,Is Hillsborough County New Hampshire east of Zipcode 03455?,yes
yes/no,"The State of Arkansas contains Zipcode 72137, correct?",yes
checkbox,Query: Select all options that are adjacent to and east of Fairfield County South Carolina? You may choose one or more options. Options: a. Zipcode 29203 b. Zipcode 29175 c. Zipcode 29180 d. Zipcode 29212 e. None of the above,e
checkbox,Query: Select all options that are north of Dorchester County South Carolina? You may choose one or more options. Options: a. Zipcode 29410 b. Zipcode 29163 c. Orangeburg County South Carolina d. Zipcode 29479 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and northwest of Bergen County New Jersey? You may choose one or more options. Options: a. Zipcode 07302 b. Bronx County New York c. Zipcode 07030 d. Zipcode 11369 e. None of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 62021 in relation to Zipcode 62014 in terms of geography. Options: a. adjacent to and south of b. contains c. inside of d. adjacent to and north of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Berrien County Georgia in relation to Zipcode 31650 in terms of geography. Options: a. adjacent to and southwest of b. adjacent to and south of c. southeast of d. contains e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Okaloosa County Florida in relation to Zipcode 32439 in terms of geography. Options: a. adjacent to and north of b. west of c. southeast of d. adjacent to and northeast of e. none of the above,b
checkbox,Query: Select all options that are northwest of Dickinson County Kansas? You may choose one or more options. Options: a. Saline County Kansas b. Zipcode 66517 c. Zipcode 66441 d. Zipcode 67480 e. None of the above,e
checkbox,Query: Select all options that are east of Zipcode 57785? You may choose one or more options. Options: a. Zipcode 57732 b. Zipcode 57719 c. Zipcode 57754 d. Zipcode 57718 e. None of the above,e
yes/no,Is Saint James Parish Louisiana southwest of Saint Mary Parish Louisiana?,no
checkbox,Query: Select all options that are adjacent to and northwest of Pointe Coupee Parish Louisiana? You may choose one or more options. Options: a. Zipcode 70756 b. Zipcode 70719 c. Zipcode 70767 d. West Baton Rouge Parish Louisiana e. None of the above,"c,d"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 33134 in relation to Zipcode 33125 in terms of geography. Options: a. adjacent to and southwest of b. adjacent to and east of c. southwest of d. adjacent to and south of e. none of the above,a
yes/no,Is Tulare County California southeast of Zipcode 93727?,yes
yes/no,Is Zipcode 24522 adjacent to and west of Zipcode 23960?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 76082 in relation to Zipcode 76085 in terms of geography. Options: a. southeast of b. adjacent to and north of c. northeast of d. south of e. none of the above,b
checkbox,Query: Select all options that are adjacent to and south of Zipcode 44826? You may choose one or more options. Options: a. Zipcode 44857 b. Zipcode 44846 c. Zipcode 44851 d. Zipcode 44889 e. None of the above,e
checkbox,Query: Select all options that are west of Zipcode 46984? You may choose one or more options. Options: a. Zipcode 46992 b. Zipcode 46911 c. Zipcode 46919 d. Zipcode 46940 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Snyder County Pennsylvania in relation to Zipcode 17063 in terms of geography. Options: a. adjacent to and west of b. adjacent to and south of c. adjacent to and east of d. west of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 35963 in relation to Zipcode 35961 in terms of geography. Options: a. adjacent to and northwest of b. adjacent to and south of c. adjacent to and west of d. west of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of Michigan in relation to Zipcode 48890 in terms of geography. Options: a. south of b. adjacent to and northwest of c. they intersect d. contains e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Brown County Indiana in relation to Zipcode 47462 in terms of geography. Options: a. adjacent to and east of b. adjacent to and northwest of c. inside of d. northeast of e. none of the above,d
yes/no,Is Zipcode 75446 adjacent to and northeast of Zipcode 75486?,no
checkbox,Query: Select all options that are adjacent to and west of Zipcode 75103? You may choose one or more options. Options: a. Zipcode 75147 b. Zipcode 75169 c. Zipcode 75117 d. Zipcode 75161 e. None of the above,e
yes/no,"The State of New Mexico contains Zipcode 87322, correct?",yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 78731 in relation to Zipcode 78750 in terms of geography. Options: a. northwest of b. southwest of c. adjacent to and southeast of d. south of e. none of the above,c
yes/no,Is Zipcode 24015 east of Zipcode 24153?,yes
yes/no,Is Zipcode 86337 adjacent to and east of Zipcode 86411?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 15461 in relation to Zipcode 15467 in terms of geography. Options: a. southwest of b. adjacent to and north of c. southeast of d. adjacent to and northeast of e. none of the above,b
yes/no,Is Zipcode 23313 adjacent to and north of Zipcode 23310?,no
checkbox,Query: Select all options that are southwest of Zipcode 63109? You may choose one or more options. Options: a. Zipcode 63111 b. Zipcode 63116 c. Zipcode 63143 d. Zipcode 62240 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 78022 in relation to Zipcode 78368 in terms of geography. Options: a. adjacent to and east of b. adjacent to and west of c. northwest of d. inside of e. none of the above,e
checkbox,Query: Select all options that are southwest of Charlton County Georgia? You may choose one or more options. Options: a. Zipcode 31542 b. Zipcode 32097 c. Glynn County Georgia d. Zipcode 31565 e. None of the above,"c,d"
yes/no,Is Zipcode 28712 north of Zipcode 28716?,no
yes/no,Is Zipcode 97223 adjacent to and east of Zipcode 97007?,yes
yes/no,Is Zipcode 33067 southeast of Zipcode 33069?,no
checkbox,Query: Select all options that are southeast of Zipcode 06247? You may choose one or more options. Options: a. Zipcode 06280 b. Zipcode 06331 c. Zipcode 06264 d. Zipcode 06242 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 72422 in relation to Zipcode 72462 in terms of geography. Options: a. southwest of b. adjacent to and south of c. adjacent to and west of d. adjacent to and east of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Broward County Florida in relation to Zipcode 33014 in terms of geography. Options: a. northwest of b. contains c. adjacent to and southeast of d. adjacent to and west of e. none of the above,a
yes/no,Is Sandoval County New Mexico northeast of Zipcode 87566?,no
checkbox,Query: Select all options that are adjacent to and northeast of Zipcode 24603? You may choose one or more options. Options: a. Zipcode 24614 b. Zipcode 41522 c. Zipcode 41554 d. Zipcode 24628 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and southeast of Zipcode 65617? You may choose one or more options. Options: a. Zipcode 65613 b. Zipcode 65663 c. Zipcode 65648 d. Zipcode 65803 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and northeast of Zipcode 67483? You may choose one or more options. Options: a. Zipcode 67428 b. Zipcode 66861 c. Zipcode 67448 d. Zipcode 67438 e. None of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 41844 in relation to Zipcode 41339 in terms of geography. Options: a. they intersect b. adjacent to and east of c. southeast of d. adjacent to and northeast of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 77514 in relation to Zipcode 77705 in terms of geography. Options: a. north of b. adjacent to and south of c. southwest of d. south of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 27568 in relation to Zipcode 27569 in terms of geography. Options: a. they intersect b. adjacent to and west of c. adjacent to and north of d. north of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 23294 in relation to Zipcode 23233 in terms of geography. Options: a. adjacent to and southeast of b. southwest of c. adjacent to and east of d. east of e. none of the above,c
checkbox,Query: Select all options that are inside of Guayanilla Municipio Puerto Rico? You may choose one or more options. Options: a. Zipcode 00631 b. Zipcode 00664 c. Zipcode 00638 d. Zipcode 00680 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Vernon County Missouri in relation to Zipcode 66734 in terms of geography. Options: a. adjacent to and southeast of b. east of c. adjacent to and northeast of d. northeast of e. none of the above,d
yes/no,Is Zipcode 59472 adjacent to and southwest of Zipcode 59405?,no
yes/no,Is Zipcode 76051 southwest of Zipcode 76021?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 68018 in relation to Zipcode 68015 in terms of geography. Options: a. adjacent to and west of b. east of c. adjacent to and south of d. southeast of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Summit County Ohio in relation to Zipcode 44308 in terms of geography. Options: a. contains b. northwest of c. inside of d. southeast of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of Kentucky in relation to Zipcode 45760 in terms of geography. Options: a. adjacent to and northeast of b. adjacent to and east of c. adjacent to and south of d. west of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 28649 in relation to Zipcode 28659 in terms of geography. Options: a. adjacent to and northwest of b. south of c. adjacent to and southwest of d. adjacent to and east of e. none of the above,a
checkbox,Query: Select all options that are adjacent to and west of Greenwood County South Carolina? You may choose one or more options. Options: a. McCormick County South Carolina b. Zipcode 29037 c. Saluda County South Carolina d. Newberry County South Carolina e. None of the above,"b,c,d"
checkbox,Query: Select all options that are northwest of Zipcode 99503? You may choose one or more options. Options: a. Zipcode 99682 b. Zipcode 99557 c. Zipcode 99507 d. Zipcode 99518 e. None of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 95005 in relation to Zipcode 95033 in terms of geography. Options: a. adjacent to and south of b. east of c. adjacent to and northeast of d. adjacent to and southwest of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Atkinson County Georgia in relation to Zipcode 31749 in terms of geography. Options: a. adjacent to and northeast of b. adjacent to and north of c. west of d. east of e. none of the above,d
checkbox,Query: Select all options that are southwest of Zipcode 26845? You may choose one or more options. Options: a. Zipcode 26757 b. Zipcode 26743 c. Zipcode 26818 d. Zipcode 26847 e. None of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 03574 in relation to Zipcode 03593 in terms of geography. Options: a. west of b. northeast of c. south of d. adjacent to and northeast of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 12846 in relation to Zipcode 12828 in terms of geography. Options: a. adjacent to and west of b. northwest of c. adjacent to and northwest of d. southeast of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 93203 in relation to Zipcode 93313 in terms of geography. Options: a. adjacent to and southwest of b. adjacent to and north of c. west of d. east of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Wilkinson County Mississippi in relation to Zipcode 39631 in terms of geography. Options: a. intersects with b. northeast of c. south of d. adjacent to and northeast of e. none of the above,a
checkbox,Query: Select all options that are inside of Brooks County Georgia? You may choose one or more options. Options: a. The State of Georgia b. Zipcode 32052 c. Zipcode 31632 d. Zipcode 31627 e. None of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 53937 in relation to Zipcode 53941 in terms of geography. Options: a. adjacent to and south of b. northwest of c. they intersect d. adjacent to and west of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 24850 in relation to Zipcode 24634 in terms of geography. Options: a. northeast of b. adjacent to and northeast of c. west of d. adjacent to and southwest of e. none of the above,b
yes/no,Is Zipcode 85373 adjacent to and west of Zipcode 85375?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 17315 in relation to Zipcode 17406 in terms of geography. Options: a. adjacent to and west of b. inside of c. contains d. southwest of e. none of the above,a
checkbox,Query: Select all options that are northwest of Sabana Grande Municipio Puerto Rico? You may choose one or more options. Options: a. Zipcode 00682 b. Guayanilla Municipio Puerto Rico c. Zipcode 00606 d. Zipcode 00660 e. None of the above,b
yes/no,Is Zipcode 62612 adjacent to and northeast of Zipcode 62675?,no
yes/no,Is Breckinridge County Kentucky west of Zipcode 42351?,no
yes/no,Is Zipcode 90094 east of Zipcode 90056?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Saguache County Colorado in relation to Alamosa County Colorado in terms of geography. Options: a. southwest of b. east of c. northwest of d. adjacent to and northwest of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 53149 in relation to Zipcode 53103 in terms of geography. Options: a. southeast of b. northeast of c. they intersect d. west of e. none of the above,e
checkbox,Query: Select all options that are adjacent to and northwest of The State of Indiana? You may choose one or more options. Options: a. Zipcode 45052 b. Zipcode 46989 c. Zipcode 46074 d. Zipcode 46235 e. None of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 34241 in relation to Zipcode 34233 in terms of geography. Options: a. adjacent to and east of b. they intersect c. south of d. southwest of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 43903 in relation to Zipcode 43925 in terms of geography. Options: a. southwest of b. northeast of c. adjacent to and south of d. inside of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 98575 in relation to Zipcode 98526 in terms of geography. Options: a. adjacent to and east of b. adjacent to and northeast of c. adjacent to and southwest of d. they intersect e. none of the above,a
checkbox,Query: Select all options that are adjacent to and northwest of Zipcode 64850? You may choose one or more options. Options: a. Zipcode 64861 b. Zipcode 64844 c. Zipcode 64865 d. Zipcode 64804 e. None of the above,e
yes/no,Is Caledonia County Vermont northeast of Zipcode 05907?,no
checkbox,Query: Select all options that are adjacent to and southeast of Zipcode 92108? You may choose one or more options. Options: a. Zipcode 92115 b. Zipcode 92111 c. Zipcode 92104 d. Zipcode 92103 e. None of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Aleutians East Borough Alaska in relation to Zipcode 99553 in terms of geography. Options: a. northwest of b. southwest of c. adjacent to and southwest of d. contains e. none of the above,d
checkbox,Query: Select all options that are east of Zipcode 12093? You may choose one or more options. Options: a. Zipcode 13757 b. Zipcode 13750 c. Zipcode 12076 d. Zipcode 12194 e. None of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Saint Joseph County Michigan in relation to Zipcode 49075 in terms of geography. Options: a. contains b. south of c. southwest of d. west of e. none of the above,a
yes/no,Is Zipcode 48158 adjacent to and southeast of Zipcode 49236?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 34746 in relation to Zipcode 32821 in terms of geography. Options: a. inside of b. adjacent to and southeast of c. north of d. southeast of e. none of the above,e
checkbox,Query: Select all options that are adjacent to and south of Zipcode 46062? You may choose one or more options. Options: a. Zipcode 46038 b. Zipcode 46034 c. Zipcode 46032 d. Zipcode 46060 e. None of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 57648 in relation to Zipcode 58542 in terms of geography. Options: a. adjacent to and southeast of b. northeast of c. inside of d. south of e. none of the above,e
checkbox,Query: Select all options that are adjacent to and north of Johnson County Arkansas? You may choose one or more options. Options: a. The State of Texas b. Zipcode 72863 c. Zipcode 72835 d. Franklin County Arkansas e. None of the above,"b,c"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 87002 in relation to Zipcode 87023 in terms of geography. Options: a. west of b. adjacent to and northeast of c. adjacent to and east of d. southwest of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of New York in relation to Zipcode 10988 in terms of geography. Options: a. contains b. adjacent to and southeast of c. adjacent to and west of d. northwest of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 16115 in relation to Zipcode 44455 in terms of geography. Options: a. adjacent to and south of b. east of c. southwest of d. adjacent to and west of e. none of the above,b
yes/no,"Trempealeau County Wisconsin is inside of Zipcode 54625, correct?",no
yes/no,Is Zipcode 10470 adjacent to and northwest of Zipcode 10705?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of Alabama in relation to Zipcode 35544 in terms of geography. Options: a. contains b. south of c. adjacent to and northwest of d. adjacent to and southwest of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 21530 in relation to Zipcode 15522 in terms of geography. Options: a. they intersect b. south of c. adjacent to and south of d. northeast of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of McLean County Illinois in relation to Zipcode 61722 in terms of geography. Options: a. north of b. adjacent to and southwest of c. adjacent to and northeast of d. contains e. none of the above,d
checkbox,Query: Select all options that are adjacent to and northeast of Zipcode 10019? You may choose one or more options. Options: a. Zipcode 10023 b. Zipcode 10153 c. Zipcode 10022 d. Zipcode 10075 e. None of the above,e
yes/no,"Cumberland County Maine is inside of The State of Maine, correct?",yes
checkbox,Query: Select all options that are west of Monroe County Mississippi? You may choose one or more options. Options: a. Zipcode 35592 b. Zipcode 35544 c. Zipcode 35576 d. Zipcode 39705 e. None of the above,"a,b"
yes/no,Is Zipcode 14037 adjacent to and north of Zipcode 14145?,yes
yes/no,"Sarasota County Florida contains Zipcode 34292, correct?",yes
checkbox,Query: Select all options that are west of Zipcode 53516? You may choose one or more options. Options: a. Zipcode 53504 b. Zipcode 53574 c. Zipcode 53570 d. Zipcode 53565 e. None of the above,e
yes/no,Is Zipcode 61364 adjacent to and west of Zipcode 61377?,no
yes/no,Is Nemaha County Nebraska west of Zipcode 51630?,yes
yes/no,Is Zipcode 54838 adjacent to and south of Zipcode 54859?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of Virginia in relation to Zipcode 45688 in terms of geography. Options: a. inside of b. southwest of c. adjacent to and east of d. east of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Weber County Utah in relation to Zipcode 84403 in terms of geography. Options: a. contains b. inside of c. west of d. intersects with e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 17749 in relation to Zipcode 17772 in terms of geography. Options: a. northwest of b. adjacent to and north of c. adjacent to and southeast of d. southwest of e. none of the above,d
yes/no,Is Zipcode 44134 east of Zipcode 44130?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 12207 in relation to Zipcode 12180 in terms of geography. Options: a. adjacent to and east of b. inside of c. contains d. adjacent to and south of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Johnson County Wyoming in relation to Zipcode 82835 in terms of geography. Options: a. southeast of b. adjacent to and south of c. adjacent to and west of d. inside of e. none of the above,b
yes/no,Is Zipcode 01083 northeast of Zipcode 01535?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of New York in relation to Zipcode 12143 in terms of geography. Options: a. southeast of b. north of c. they intersect d. contains e. none of the above,d
yes/no,Is Union County Illinois northwest of Zipcode 62956?,yes
yes/no,Is Ulster County New York west of Zipcode 13755?,no
checkbox,Query: Select all options that are adjacent to and south of Wayne County North Carolina? You may choose one or more options. Options: a. Wilson County North Carolina b. Zipcode 27888 c. Zipcode 27851 d. Jones County North Carolina e. None of the above,"a,c"
yes/no,Is Sussex County Delaware adjacent to and west of Caroline County Maryl?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 98380 in relation to Zipcode 98367 in terms of geography. Options: a. north of b. adjacent to and east of c. contains d. northwest of e. none of the above,d
checkbox,Query: Select all options that are adjacent to and northeast of The State of Indiana? You may choose one or more options. Options: a. Zipcode 47904 b. Zipcode 42461 c. Zipcode 62439 d. Zipcode 62867 e. None of the above,"b,c,d"
yes/no,"The State of California contains Zipcode 95321, correct?",yes
checkbox,Query: Select all options that are adjacent to and northwest of Zipcode 18240? You may choose one or more options. Options: a. Zipcode 18218 b. Zipcode 18202 c. Zipcode 18250 d. Zipcode 18237 e. None of the above,c
yes/no,Is Zipcode 52345 adjacent to and northeast of Zipcode 52352?,no
yes/no,"The State of Georgia contains Zipcode 30805, correct?",yes
yes/no,Is Zipcode 68339 adjacent to and south of Zipcode 68532?,yes
checkbox,Query: Select all options that are west of Zipcode 26143? You may choose one or more options. Options: a. Zipcode 26169 b. Zipcode 26133 c. Zipcode 25275 d. Zipcode 26178 e. None of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 56550 in relation to Zipcode 56510 in terms of geography. Options: a. northwest of b. southeast of c. adjacent to and southwest of d. south of e. none of the above,c
yes/no,"Montgomery County New York has no common ground with Zipcode 12166, correct?",no
checkbox,Query: Select all options that are adjacent to and east of Zipcode 24210? You may choose one or more options. Options: a. Zipcode 24224 b. Zipcode 24266 c. Zipcode 24270 d. Zipcode 24370 e. None of the above,c
checkbox,Query: Select all options that are adjacent to and northwest of Ward County North Dakota? You may choose one or more options. Options: a. McLean County North Dakota b. Zipcode 58702 c. Zipcode 58779 d. Zipcode 58705 e. None of the above,e
yes/no,Is Zipcode 62890 adjacent to and southwest of Zipcode 62951?,no
yes/no,Is Zipcode 08865 adjacent to and southeast of Zipcode 18040?,yes
checkbox,Query: Select all options that intersect with Sullivan County Missouri? You may choose one or more options. Options: a. Zipcode 63561 b. The State of Missouri c. Zipcode 63556 d. Zipcode 64628 e. None of the above,e
yes/no,Is Zipcode 78747 adjacent to and west of Zipcode 78719?,yes
yes/no,Is The State of Alabama northwest of Zipcode 32431?,yes
checkbox,Query: Select all options that are south of Zipcode 78380? You may choose one or more options. Options: a. Zipcode 78409 b. Zipcode 78406 c. Zipcode 78339 d. Zipcode 78383 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of Virginia in relation to Zipcode 41397 in terms of geography. Options: a. east of b. inside of c. adjacent to and north of d. southwest of e. none of the above,a
yes/no,Is Zipcode 64164 adjacent to and south of Zipcode 64154?,no
checkbox,Query: Select all options that are southeast of Sullivan County New York? You may choose one or more options. Options: a. Zipcode 12733 b. Zipcode 18340 c. Zipcode 12779 d. Zipcode 13754 e. None of the above,d
checkbox,Query: Select all options that are adjacent to and north of Hall County Georgia? You may choose one or more options. Options: a. Zipcode 30507 b. Zipcode 30521 c. Barrow County Georgia d. Zipcode 30011 e. None of the above,c
yes/no,Is Zipcode 37716 adjacent to and east of Zipcode 37710?,yes
yes/no,Is Zipcode 18109 northeast of Zipcode 18064?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 30680 in relation to Zipcode 30677 in terms of geography. Options: a. southeast of b. southwest of c. northwest of d. adjacent to and northwest of e. none of the above,c
yes/no,Is Fresno County California northwest of Zipcode 93256?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 17057 in relation to Zipcode 17315 in terms of geography. Options: a. adjacent to and northwest of b. northeast of c. west of d. south of e. none of the above,b
yes/no,"Cheshire County New Hampshire is inside of Zipcode 03431, correct?",no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 58483 in relation to Zipcode 58442 in terms of geography. Options: a. they intersect b. adjacent to and northwest of c. adjacent to and southwest of d. adjacent to and northeast of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Dorchester County Maryland in relation to Zipcode 21671 in terms of geography. Options: a. adjacent to and southwest of b. contains c. east of d. northwest of e. none of the above,e
checkbox,Query: Select all options that are adjacent to and west of Zipcode 75703? You may choose one or more options. Options: a. Zipcode 75709 b. Zipcode 75791 c. Zipcode 75701 d. Zipcode 75707 e. None of the above,b
checkbox,Query: Select all options that are adjacent to and southeast of Zipcode 30228? You may choose one or more options. Options: a. Zipcode 30284 b. Zipcode 30205 c. Zipcode 30215 d. Zipcode 30238 e. None of the above,d
yes/no,Is Zipcode 64427 adjacent to and south of Zipcode 64423?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Walworth County Wisconsin in relation to Rock County Wisconsin in terms of geography. Options: a. adjacent to and east of b. southwest of c. north of d. they intersect e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Saint Martin Parish Louisiana in relation to Pointe Coupee Parish Louisiana in terms of geography. Options: a. adjacent to and southwest of b. northeast of c. adjacent to and south of d. north of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 62065 in relation to Zipcode 62047 in terms of geography. Options: a. inside of b. southeast of c. adjacent to and north of d. south of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Breckinridge County Kentucky in relation to Bullitt County Kentucky in terms of geography. Options: a. east of b. northwest of c. north of d. west of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Dinwiddie County Virginia in relation to Zipcode 23897 in terms of geography. Options: a. they intersect b. northeast of c. northwest of d. inside of e. none of the above,c
checkbox,Query: Select all options that are east of The State of Wisconsin? You may choose one or more options. Options: a. Zipcode 53560 b. Zipcode 53813 c. Zipcode 55012 d. Zipcode 54433 e. None of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Chester County South Carolina in relation to The State of South Carolina in terms of geography. Options: a. adjacent to and southeast of b. adjacent to and northwest of c. inside of d. adjacent to and east of e. none of the above,c
yes/no,Is Zipcode 68620 adjacent to and east of Zipcode 68665?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 81253 in relation to Zipcode 81004 in terms of geography. Options: a. northeast of b. inside of c. adjacent to and west of d. northwest of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 49853 in relation to Zipcode 49762 in terms of geography. Options: a. adjacent to and southwest of b. east of c. northwest of d. adjacent to and northwest of e. none of the above,c
checkbox,Query: Select all options that are adjacent to and north of Zipcode 30667? You may choose one or more options. Options: a. Zipcode 30630 b. Zipcode 30669 c. Zipcode 30642 d. Zipcode 30605 e. None of the above,b
checkbox,Query: Select all options that are east of Saint John the Baptist Parish Louisiana? You may choose one or more options. Options: a. Zipcode 70763 b. Zipcode 70743 c. Zipcode 70778 d. Zipcode 70769 e. None of the above,"a,b,c,d"
yes/no,"The State of Illinois contains Zipcode 62940, correct?",yes
